DATE,IUMBV34
31 Jan 2010,3.97
28 Feb 2010,3.88
31 Mar 2010,3.92
30 Apr 2010,3.82
31 May 2010,3.78
30 Jun 2010,3.67
31 Jul 2010,3.77
31 Aug 2010,3.74
30 Sep 2010,3.8
31 Oct 2010,3.68
30 Nov 2010,3.53
31 Dec 2010,3.5
31 Jan 2011,3.7
28 Feb 2011,3.7
31 Mar 2011,3.68
30 Apr 2011,3.66
31 May 2011,3.51
30 Jun 2011,3.36
31 Jul 2011,3.14
31 Aug 2011,3
30 Sep 2011,2.92
31 Oct 2011,3.04
30 Nov 2011,3.14
31 Dec 2011,3.22
31 Jan 2012,3.27
29 Feb 2012,3.37
31 Mar 2012,3.44
30 Apr 2012,3.66
31 May 2012,3.68
30 Jun 2012,3.74
31 Jul 2012,3.67
31 Aug 2012,3.69
30 Sep 2012,3.67
31 Oct 2012,3.49
30 Nov 2012,3.43
31 Dec 2012,3.35
31 Jan 2013,3.11
28 Feb 2013,2.92
31 Mar 2013,2.9
30 Apr 2013,2.87
31 May 2013,2.69
30 Jun 2013,2.63
31 Jul 2013,2.62
31 Aug 2013,2.58
30 Sep 2013,2.54
31 Oct 2013,2.48
30 Nov 2013,2.44
31 Dec 2013,2.4
31 Jan 2014,2.37
28 Feb 2014,2.38
31 Mar 2014,2.37
30 Apr 2014,2.54
31 May 2014,2.56
30 Jun 2014,2.6
31 Jul 2014,2.54
31 Aug 2014,2.54
30 Sep 2014,2.46
31 Oct 2014,2.21
30 Nov 2014,2.17
31 Dec 2014,2.08
31 Jan 2015,2.01
28 Feb 2015,1.96
31 Mar 2015,1.99
30 Apr 2015,1.95
31 May 2015,1.9
30 Jun 2015,1.83
31 Jul 2015,1.87
31 Aug 2015,1.95
30 Sep 2015,1.91
31 Oct 2015,1.87
30 Nov 2015,1.92
31 Dec 2015,1.9
31 Jan 2016,1.93
29 Feb 2016,1.95
31 Mar 2016,1.9
30 Apr 2016,1.84
31 May 2016,1.91
30 Jun 2016,1.75
31 Jul 2016,1.72
31 Aug 2016,1.69
30 Sep 2016,1.59
31 Oct 2016,1.52
30 Nov 2016,1.43
31 Dec 2016,1.45
31 Jan 2017,1.45
28 Feb 2017,1.42
31 Mar 2017,1.37
30 Apr 2017,1.35
31 May 2017,1.49
30 Jun 2017,1.48
31 Jul 2017,1.41
31 Aug 2017,1.43
30 Sep 2017,1.4
31 Oct 2017,1.55
30 Nov 2017,1.61
31 Dec 2017,1.57
31 Jan 2018,1.54
28 Feb 2018,1.49
31 Mar 2018,1.53
30 Apr 2018,1.72
31 May 2018,1.74
30 Jun 2018,1.74
31 Jul 2018,1.75
31 Aug 2018,1.75
30 Sep 2018,1.71
31 Oct 2018,1.8
30 Nov 2018,1.75
31 Dec 2018,1.73
31 Jan 2019,1.72
28 Feb 2019,1.7
31 Mar 2019,1.7
30 Apr 2019,1.66
31 May 2019,1.65
30 Jun 2019,1.64
31 Jul 2019,1.61
31 Aug 2019,1.59
30 Sep 2019,1.55
31 Oct 2019,1.47
30 Nov 2019,1.41
31 Dec 2019,1.42
31 Jan 2020,1.41
29 Feb 2020,1.4
31 Mar 2020,1.4
30 Apr 2020,1.38
31 May 2020,1.42
30 Jun 2020,1.41
31 Jul 2020,1.45
31 Aug 2020,1.6
30 Sep 2020,1.75
31 Oct 2020,1.94
30 Nov 2020,1.92
31 Dec 2020,1.86
31 Jan 2021,1.75
28 Feb 2021,1.61
31 Mar 2021,1.56
30 Apr 2021,1.49
31 May 2021,1.47
30 Jun 2021,1.39
31 Jul 2021,1.29
31 Aug 2021,1.23
30 Sep 2021,1.2
31 Oct 2021,1.29
30 Nov 2021,1.53
31 Dec 2021,1.57
31 Jan 2022,1.64
28 Feb 2022,1.78
31 Mar 2022,2.14
30 Apr 2022,2.35
31 May 2022,2.63
30 Jun 2022,2.87
31 Jul 2022,3.48
31 Aug 2022,3.6
30 Sep 2022,4.17
31 Oct 2022,5.99
30 Nov 2022,5.98
31 Dec 2022,5.43
31 Jan 2023,5.14
28 Feb 2023,4.79
31 Mar 2023,4.74
30 Apr 2023,4.6
31 May 2023,4.72
30 Jun 2023,5.49
31 Jul 2023,6.22
31 Aug 2023,6.18
30 Sep 2023,5.91
31 Oct 2023,5.6
30 Nov 2023,5.28
31 Dec 2023,5.03
31 Jan 2024,4.71
29 Feb 2024,4.76
31 Mar 2024,4.96
30 Apr 2024,4.98
31 May 2024,5.19
30 Jun 2024,5.16
31 Jul 2024,4.99
31 Aug 2024,4.8
30 Sep 2024,4.58
31 Oct 2024,4.4
30 Nov 2024,4.53
31 Dec 2024,4.6
31 Jan 2025,4.63
28 Feb 2025,4.65
31 Mar 2025,4.54
30 Apr 2025,4.42
31 May 2025,4.18
30 Jun 2025,4.28
31 Jul 2025,4.21
31 Aug 2025,4.1
30 Sep 2025,4.19
31 Oct 2025,4.2
30 Nov 2025,4.06
31 Dec 2025,3.97
31 Jan 2026,3.92
28 Feb 2026,3.97
