Bank,Brand,Product Name,Segment
NatWest,NatWest,Foundation,Basic
NatWest,NatWest,Select Account,General
NatWest,NatWest,Select Account with Overdraft Control,General
NatWest,NatWest,Select Private/Select Premier,General
NatWest,NatWest,Select Account (Credit Restricted),Basic
NatWest,NatWest,Basic Account,Basic
NatWest,NatWest,Premier Reward,Reward
NatWest,NatWest,Graduate Account,Graduate
NatWest,NatWest,Reward Platinum,Packaged
NatWest,NatWest,Select Platinum Account,Packaged
NatWest,NatWest,Black Account,Packaged
NatWest,NatWest,Premier Reward Black,Packaged
NatWest,NatWest,Reward,Reward
NatWest,NatWest,Select Silver Account,Packaged
NatWest,NatWest,Reward Silver,Packaged
NatWest,NatWest,Select Silver Account (Credit Restricted),Packaged
NatWest,NatWest,Adapt Account,Youth
NatWest,NatWest,Student Account,Student
Lloyds,Lloyds Bank,Platinum Account,Packaged
Lloyds,Lloyds Bank,Under 19s Account,Youth
Lloyds,Lloyds Bank,Club Lloyds Account,Reward
Lloyds,Lloyds Bank,Silver account,Packaged
Lloyds,Lloyds Bank,Student Account,Student
Lloyds,Lloyds Bank,Classic Account,General
Lloyds,Lloyds Bank,Club Lloyds Platinum Account,Packaged
Lloyds,Lloyds Bank,Lloyds Premier account,Reward
Lloyds,Lloyds Bank,Basic Account,Basic
Lloyds,Lloyds Bank,Spending Account,Youth
Lloyds,Lloyds Bank,Club Silver account,Packaged
